product_code,normalized_group,normalized_part_type,normalized_category_name,ai_candidate_yn,source_rule,confidence,reviewed_yn
58044,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
114627,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
107146,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
114623,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
107333,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
104105,core_part,CASE,본체 케이스,TRUE,product_name:케이스|CASE|미들타워|미니타워|빅타워|랙마운트|슬림|강화유리,0.94,FALSE
96120,peripheral,MOUSE,마우스,FALSE,product_name:마우스,0.93,FALSE
106411,unknown,UNKNOWN,미분류,FALSE,no_match,0,FALSE
104106,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
107725,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
102533,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
112319,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
114625,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
126830,core_part,POWER,파워서플라이,TRUE,"product_name:파워|POWER|파워서플라이|[0-9]{3,4}W|80PLUS|BRONZE|GOLD|PLATINUM|TITANIUM",0.95,FALSE
