product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
110102,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
104205,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110110,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
110111,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
107598,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
109797,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
107581,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
107583,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
108771,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110112,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
108769,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110113,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
109194,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110114,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
109193,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110163,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110164,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110165,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
110293,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
115831,core_part,COOLER_CPU_AIO,0.88,원본 카테고리와 상품명 분류 충돌: RAM / AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
108377,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
108378,core_part,RAM,0.96,AI 추천 후보 필수 product_specs 누락: capacity_gb,대기
103830,core_part,COOLER_CPU_AIO,0.94,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
104241,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
120325,core_part,COOLER_CPU_AIO,0.93,AI 추천 후보 필수 product_specs 누락: cooler_tdp,대기
121055,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
121056,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
120326,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
120321,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125015,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125016,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125013,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125014,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125029,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125030,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125027,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
125028,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
120322,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
120323,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
120324,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
115653,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
115652,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
115651,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
115654,core_part,CASE,0.94,"AI 추천 후보 필수 product_specs 누락: gpu_max_mm, height_mm",대기
104253,core_part,MB,0.95,"AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
100662,core_part,MB,0.88,"원본 카테고리와 상품명 분류 충돌: GPU / AI 추천 후보 필수 product_specs 누락: socket, chipset, mem_type, form_factor",대기
